well_id,wellbore_id,field_name,sector,platform,slot,well_name,elevation_m,ground_elevation_m,elev_ref,sea_bed_m,sea_bed_ref,current_status,original_status,previous_status,status_date,spud_date,operator,local_location,projection,surface_x,surface_y,latitude,longitude,drillers_td_m,drillers_tvs_m,logger_tvd_m,hole_direction,formation_at_td,target_formation,bottom_x,bottom_y,rig_name,contractor,bore_type,well_objective,surface_lat,surface_lon,bottom_lat,bottom_lon
W-0011,WB-0011,Hail,Offshore-North,PLAT-44,2,Hail-02,31.3,2.3,GL,76.8,MSL,Shut-in,Planned,Completed,2027-01-09,2020-10-04,ADNOC,Block 10/4,EPSG:32639,3467.27,80369.35,22.123507,48.268909,1769,1536,1535,Vertical,Khuff,Mauddud,4485.49,81527.57,Noble-3,Borr Drilling,Exploration,Water Injector,22.130129,48.278106,22.130055,48.250695
W-0012,WB-0012,Oryx,Offshore-North,FPSO-93,37,Oryx-37,54.1,-3.2,GL,35.5,MSL,Abandoned,Planned,Testing,2001-05-31,1996-01-22,Shell,Block 25/7,EPSG:32639,39191.06,81782.21,27.819459,48.501226,3814,2858,3001,Horizontal,Thamama,Mauddud,39035.57,82469.31,Ensco-106,ADES,Appraisal,Oil Producer,27.827694,48.497809,27.839089,48.494631
W-0013,WB-0013,Delta,Onshore,PAD-94,22,Delta-22,49.3,5.3,KB,0.0,,Completed,Planned,Shut-in,2014-05-16,2011-07-13,TotalEnergies,Block 18/28,EPSG:32639,69716.37,97894.74,26.994656,55.2515,4377,4331,3990,Deviated,Nahr Umr,Shuaiba,70126.45,99178.17,Noble-3,ADES,Development,Oil Producer,26.989743,55.259218,27.007594,55.247157
W-0014,WB-0014,Bravo,Offshore-West,PLAT-12,16,Bravo-16,26.6,6.8,KB,24.1,MSL,Shut-in,Drilling,Abandoned,2006-07-10,2001-11-29,Shell,Block 8/11,EPSG:32640,19343.53,50186.95,23.274035,49.113963,3865,3284,3413,Vertical,Thamama,Mishrif,18507.24,49684.92,Ensco-107,Shelf Drilling,Appraisal,Appraisal,23.279486,49.120915,23.283865,49.13356
W-0015,WB-0015,Oryx,Offshore-North,FPSO-38,14,Oryx-14,47.2,13.2,KB,49.1,MSL,Producing,Completed,Completed,2032-05-27,2025-11-08,BP,Block 8/4,EPSG:32641,64150.45,45495.69,23.09095,52.259365,1424,1273,980,Deviated,Yamama,Yamama,64681.67,45505.32,Noble-6,Noble,Development,Oil Producer,23.086259,52.253579,23.079272,52.24768
W-0016,WB-0016,Falcon,Onshore,PLAT-87,16,Falcon-16,57.3,16.6,DF,0.0,,Completed,Completed,Shut-in,2012-11-21,2011-06-29,Chevron,Block 6/6,EPSG:32640,25982.81,75347.56,23.100427,51.288765,6000,4296,4510,Horizontal,Yamama,Mauddud,26799.53,73889.8,Ensco-101,Valaris,Development,Water Injector,23.094602,51.291251,23.115473,51.290556
W-0017,WB-0017,Hail,Offshore-South,PAD-17,43,Hail-43,24.4,10.7,GL,15.7,MSL,Testing,Drilling,Suspended,2004-05-14,2000-12-13,Saudi Aramco,Block 2/30,EPSG:32641,88608.61,13247.07,23.825453,50.778747,5266,4595,4855,Horizontal,Arab-D,Arab-D,88528.25,11767.94,Shelf-3,Valaris,Development,Water Injector,23.834338,50.770201,23.826485,50.79824
W-0018,WB-0018,Eagle,Offshore-South,PLAT-32,24,Eagle-24,59.3,2.5,DF,14.2,MSL,Completed,Drilling,Testing,2003-11-30,2002-02-02,PDO Oman,Block 79/34,EPSG:32639,89568.99,54691.55,25.148539,55.198667,4204,3684,3191,Horizontal,Yamama,Mishrif,89922.17,53911.93,GulfDrill-7,Noble,Exploration,Water Injector,25.138925,55.205401,25.164111,55.210348
W-0019,WB-0019,Delta,Onshore,FPSO-35,19,Delta-19,33.1,-3.0,GL,0.0,,Shut-in,Completed,Suspended,2011-11-24,2009-06-25,PDO Oman,Block 65/32,EPSG:32640,29728.72,54624.76,24.59167,48.174587,4887,4818,4729,Vertical,Arab-D,Thamama,29597.7,53427.18,Ensco-101,Noble,Exploration,Water Injector,24.600978,48.168078,24.584863,48.194322
W-0020,WB-0020,Eagle,Offshore-South,FPSO-95,29,Eagle-29,37.8,10.2,GL,22.3,MSL,Producing,Drilling,Completed,2030-03-02,2022-03-14,Saudi Aramco,Block 10/10,EPSG:32641,22999.38,8947.31,23.747375,53.310317,1574,1236,1370,Vertical,Mauddud,Yamama,24181.65,8227.94,Noble-5,ADES,Exploration,Oil Producer,23.74036,53.301733,23.729857,53.329049
W-0021,WB-0021,Jade,Offshore-South,PLAT-46,14,Jade-14,25.5,-3.8,GL,99.8,MSL,Suspended,Completed,Producing,2004-07-15,2001-09-07,ENI,Block 53/10,EPSG:32639,41130.4,41798.41,25.671117,55.707155,3785,3677,3110,Vertical,Arab-C,Thamama,41124.01,40829.54,Noble-1,Valaris,Development,Water Injector,25.677506,55.705159,25.670156,55.706737
W-0022,WB-0022,Mauddud,Offshore-North,JKT-21,45,Mauddud-45,58.9,19.6,KB,71.8,MSL,Abandoned,Planned,Testing,2005-06-27,2001-02-22,Kuwait Oil Company,Block 26/30,EPSG:32640,24053.16,85328.48,22.836963,52.481345,5464,4109,4440,Deviated,Shuaiba,Shuaiba,25078.59,83914.04,Noble-1,KCA Deutag,Exploration,Gas Injector,22.832481,52.482883,22.827757,52.4892
W-0023,WB-0023,Khuff,Offshore-South,PLAT-99,18,Khuff-18,44.4,11.3,DF,72.1,MSL,Drilling,Completed,Abandoned,2021-09-21,2014-06-23,ENI,Block 43/2,EPSG:32639,67238.38,85615.36,23.752868,55.49458,2347,1724,2217,Deviated,Arab-C,Mishrif,68142.44,86843.27,Noble-2,Noble,Development,Gas Injector,23.749882,55.501678,23.761477,55.478998
W-0024,WB-0024,Lulu,Offshore-South,PAD-78,33,Lulu-33,42.0,1.1,KB,46.4,MSL,Suspended,Completed,Shut-in,2026-08-01,2022-03-18,ADNOC,Block 91/28,EPSG:32639,82606.47,9923.77,24.198171,48.418063,4555,3543,3246,Horizontal,Yamama,Shuaiba,82337.98,8448.44,Ensco-104,ADES,Exploration,Water Injector,24.192506,48.427548,24.216455,48.415709
W-0025,WB-0025,Shams,Offshore-South,PLAT-93,20,Shams-20,32.9,10.3,GL,29.8,MSL,Suspended,Completed,Abandoned,2015-12-25,2012-06-17,Shell,Block 90/19,EPSG:32641,67309.21,9072.09,24.73642,51.350347,6031,5823,4480,Vertical,Shuaiba,Thamama,66499.46,9780.34,GulfDrill-7,ADES,Development,Gas Producer,24.73813,51.349137,24.744059,51.362708
W-0026,WB-0026,Shams,Offshore-West,JKT-52,36,Shams-36,42.2,4.8,KB,63.1,MSL,Abandoned,Drilling,Shut-in,2027-07-14,2024-01-27,Chevron,Block 78/21,EPSG:32640,82435.04,26269.55,26.711056,50.081262,3607,3398,2887,Deviated,Nahr Umr,Shuaiba,82153.29,25225.99,Shelf-2,ADES,Development,Gas Producer,26.708018,50.072471,26.726533,50.081475
W-0027,WB-0027,Charlie,Offshore-South,JKT-12,16,Charlie-16,52.3,19.7,GL,8.6,MSL,Shut-in,Planned,Testing,2000-07-01,1996-12-18,QatarEnergy,Block 4/3,EPSG:32639,39699.22,87476.61,23.198043,53.846568,1503,1317,1266,Deviated,Arab-D,Nahr Umr,40677.87,88713.3,Ensco-106,KCA Deutag,Development,Gas Producer,23.201191,53.85155,23.196164,53.854676
W-0028,WB-0028,Mishrif,Offshore-East,PAD-32,10,Mishrif-10,11.8,0.6,GL,108.7,MSL,Testing,Planned,Testing,2006-10-01,1998-12-26,Saudi Aramco,Block 55/15,EPSG:32639,15631.7,12890.26,25.085407,55.850377,6137,5528,5836,Horizontal,Yamama,Nahr Umr,14814.6,14068.65,Noble-2,Borr Drilling,Exploration,Oil Producer,25.07572,55.85168,25.096273,55.860207
W-0029,WB-0029,Nour,Offshore-North,PAD-86,34,Nour-34,58.6,7.4,GL,28.1,MSL,Abandoned,Drilling,Testing,2027-10-11,2021-01-17,Chevron,Block 93/33,EPSG:32640,73795.09,71999.68,25.554487,50.05224,2381,2172,1579,Horizontal,Nahr Umr,Arab-C,73868.4,72461.38,Shelf-1,ADES,Appraisal,Gas Producer,25.545774,50.051198,25.568209,50.042379
W-0030,WB-0030,Iris,Offshore-West,PAD-81,16,Iris-16,12.6,10.2,DF,77.0,MSL,Suspended,Planned,Drilling,2030-09-24,2025-09-29,Kuwait Oil Company,Block 35/22,EPSG:32640,36047.45,10116.56,22.278702,53.233397,2393,1971,2231,Horizontal,Arab-D,Arab-C,36965.74,10633.26,Noble-5,Valaris,Appraisal,Gas Producer,22.270695,53.229582,22.287137,53.248425
W-0031,WB-0031,Ghazal,Onshore,PAD-53,22,Ghazal-22,48.5,1.0,GL,0.0,,Shut-in,Drilling,Producing,2028-08-25,2023-05-16,Shell,Block 50/2,EPSG:32641,67127.08,62313.79,25.645269,49.584781,6251,4488,4870,Deviated,Nahr Umr,Khuff,66687.51,60829.81,Ensco-104,Shelf Drilling,Appraisal,Gas Injector,25.643649,49.584829,25.64558,49.583174
W-0032,WB-0032,Qamar,Offshore-West,FPSO-63,15,Qamar-15,34.4,-1.3,DF,104.1,MSL,Abandoned,Drilling,Producing,2005-06-20,2000-07-11,BP,Block 86/26,EPSG:32641,27064.39,35606.73,23.023145,52.522642,5170,3983,4859,Vertical,Nahr Umr,Arab-C,27491.02,37061.34,Shelf-5,Borr Drilling,Exploration,Gas Injector,23.029441,52.519416,23.02818,52.511049
W-0033,WB-0033,Rimal,Offshore-West,PLAT-11,42,Rimal-42,36.6,10.1,DF,10.8,MSL,Producing,Drilling,Shut-in,2010-11-15,2009-04-19,PDO Oman,Block 49/21,EPSG:32639,8122.96,78891.4,22.39031,51.71146,3461,2852,3138,Deviated,Mauddud,Mauddud,7359.85,80024.9,Ensco-105,Shelf Drilling,Appraisal,Water Injector,22.398074,51.7166,22.39833,51.726077
W-0034,WB-0034,Charlie,Offshore-East,PLAT-96,35,Charlie-35,24.1,-0.4,KB,69.9,MSL,Drilling,Drilling,Shut-in,2026-02-09,2015-05-19,Saudi Aramco,Block 84/3,EPSG:32639,99258.18,23369.04,27.693313,55.776043,6374,4920,5956,Vertical,Shuaiba,Khuff,98086.02,24554.36,Shelf-5,Valaris,Exploration,Gas Producer,27.688209,55.776921,27.683436,55.772756
W-0035,WB-0035,Oryx,Onshore,FPSO-60,45,Oryx-45,41.1,15.4,DF,0.0,,Completed,Drilling,Shut-in,2018-08-28,2010-01-01,Chevron,Block 96/8,EPSG:32639,15620.15,63920.18,27.793792,52.868218,3315,2969,2357,Deviated,Arab-D,Khuff,16503.3,64397.91,Ensco-102,Borr Drilling,Development,Gas Injector,27.795279,52.875755,27.806175,52.87823
W-0036,WB-0036,Mishrif,Offshore-North,PLAT-76,45,Mishrif-45,51.2,-0.5,GL,46.4,MSL,Testing,Planned,Drilling,1999-02-23,1996-05-15,PDO Oman,Block 88/8,EPSG:32641,98842.1,23568.25,26.850384,50.796051,2934,2781,2651,Vertical,Mauddud,Yamama,97639.01,23102.61,Ensco-106,KCA Deutag,Appraisal,Oil Producer,26.855751,50.796922,26.868397,50.797972
W-0037,WB-0037,Pearl,Offshore-South,PLAT-54,32,Pearl-32,24.1,-4.6,KB,14.2,MSL,Testing,Drilling,Drilling,2024-10-07,2019-11-08,TotalEnergies,Block 91/10,EPSG:32640,97727.99,71366.03,23.827683,48.912766,4507,4408,3499,Vertical,Yamama,Mishrif,97042.13,72546.98,Shelf-5,Nabors,Development,Gas Injector,23.82346,48.907531,23.826293,48.908041
W-0038,WB-0038,Nour,Offshore-East,JKT-42,16,Nour-16,17.6,-0.5,KB,80.4,MSL,Testing,Drilling,Shut-in,2025-05-06,2022-03-01,TotalEnergies,Block 73/25,EPSG:32640,79381.81,87367.8,22.586033,49.209975,4409,3407,3630,Vertical,Nahr Umr,Mauddud,80447.14,86742.35,Noble-6,ADES,Exploration,Water Injector,22.584213,49.216997,22.594076,49.22237
W-0039,WB-0039,Iris,Offshore-South,JKT-77,45,Iris-45,21.7,15.2,DF,46.4,MSL,Shut-in,Planned,Completed,2025-03-11,2018-11-27,Saudi Aramco,Block 31/27,EPSG:32640,65942.3,12680.18,26.105398,49.802535,3222,3052,2448,Horizontal,Shuaiba,Nahr Umr,65481.71,12868.31,ADIPEC-1,KCA Deutag,Appraisal,Gas Injector,26.105877,49.803679,26.114879,49.805914
W-0040,WB-0040,Alpha,Onshore,JKT-29,26,Alpha-26,32.0,10.4,GL,0.0,,Completed,Drilling,Drilling,2019-02-24,2016-05-14,BP,Block 61/36,EPSG:32641,57780.71,86659.57,24.640915,50.007733,5766,4919,4473,Deviated,Thamama,Yamama,59199.85,85458.76,Ensco-103,Shelf Drilling,Development,Gas Injector,24.633612,50.00187,24.647405,50.003355
W-0041,WB-0041,Iris,Offshore-South,JKT-30,8,Iris-08,40.2,12.5,GL,71.3,MSL,Drilling,Drilling,Producing,2008-09-07,2006-06-22,ENI,Block 98/12,EPSG:32639,86610.15,59357.53,22.732229,54.804928,4528,4363,3820,Vertical,Nahr Umr,Mishrif,88049.35,60623.4,Shelf-4,Nabors,Development,Appraisal,22.722749,54.807398,22.734114,54.789312
W-0042,WB-0042,Jade,Onshore,FPSO-38,15,Jade-15,26.5,8.3,DF,0.0,,Drilling,Drilling,Producing,2025-12-27,2023-12-04,ENI,Block 17/18,EPSG:32639,28943.95,12711.05,24.971061,52.489782,2938,2413,2707,Vertical,Yamama,Mishrif,28248.78,11633.36,Borr-Prospector,Valaris,Development,Gas Injector,24.964117,52.486936,24.986327,52.5056
W-0043,WB-0043,Delta,Onshore,JKT-61,31,Delta-31,39.7,19.9,DF,0.0,,Suspended,Planned,Producing,2028-07-06,2024-08-21,TotalEnergies,Block 15/5,EPSG:32640,46768.12,42754.19,22.206331,52.187127,1952,1867,1339,Deviated,Arab-D,Khuff,45391.05,41928.88,Noble-5,Valaris,Development,Water Injector,22.208868,52.194015,22.204288,52.168546
W-0044,WB-0044,Charlie,Offshore-North,PLAT-72,27,Charlie-27,42.7,10.2,GL,56.7,MSL,Testing,Completed,Shut-in,2025-10-27,2019-01-31,ENI,Block 49/29,EPSG:32640,61939.0,16086.03,27.455922,48.918151,5996,5348,4346,Deviated,Thamama,Mishrif,62554.19,16260.43,Shelf-4,Borr Drilling,Exploration,Appraisal,27.447394,48.917217,27.438366,48.932678
W-0045,WB-0045,Delta,Offshore-North,FPSO-34,43,Delta-43,21.0,16.6,KB,107.3,MSL,Completed,Planned,Shut-in,2007-02-02,2005-04-10,Saudi Aramco,Block 21/1,EPSG:32640,41119.05,70034.79,23.55268,54.881118,1725,1653,1597,Deviated,Nahr Umr,Mishrif,40972.01,70827.07,Noble-2,Valaris,Appraisal,Water Injector,23.546474,54.885647,23.566462,54.875516
W-0046,WB-0046,Nour,Onshore,FPSO-34,41,Nour-41,44.1,10.1,GL,0.0,,Producing,Planned,Abandoned,2012-02-10,2004-08-22,ENI,Block 29/10,EPSG:32640,42748.65,75886.81,25.975134,53.782514,6031,4811,4231,Vertical,Arab-D,Khuff,41550.91,76244.86,Noble-6,Nabors,Appraisal,Appraisal,25.971891,53.774425,25.982093,53.788088
W-0047,WB-0047,Rimal,Offshore-South,PAD-16,30,Rimal-30,45.4,8.5,GL,102.6,MSL,Suspended,Completed,Abandoned,2016-12-11,2013-06-25,ENI,Block 70/32,EPSG:32640,33028.47,10579.65,23.870266,48.541347,1325,1134,1293,Vertical,Khuff,Thamama,33651.04,9776.05,Ensco-103,Borr Drilling,Appraisal,Oil Producer,23.861823,48.539267,23.884236,48.558235
W-0048,WB-0048,Charlie,Offshore-North,PLAT-98,44,Charlie-44,50.8,17.4,DF,74.5,MSL,Testing,Planned,Testing,2014-06-08,2007-12-02,QatarEnergy,Block 61/34,EPSG:32641,56423.18,50613.99,25.120408,53.662681,3154,2411,2609,Deviated,Mishrif,Arab-C,55016.7,49116.82,Shelf-4,ADES,Development,Gas Injector,25.114242,53.672346,25.10595,53.648749
W-0049,WB-0049,Charlie,Offshore-East,JKT-53,22,Charlie-22,51.7,3.1,DF,30.3,MSL,Shut-in,Planned,Testing,2012-05-09,2004-10-14,BP,Block 53/32,EPSG:32640,85057.45,81462.51,25.280262,52.348306,3236,2397,2484,Horizontal,Thamama,Yamama,86168.04,82233.96,Noble-2,ADES,Exploration,Water Injector,25.288487,52.354475,25.261492,52.350984
W-0050,WB-0050,Iris,Offshore-South,PLAT-99,26,Iris-26,54.4,13.8,GL,33.3,MSL,Testing,Planned,Drilling,2016-03-21,2006-12-01,ENI,Block 60/27,EPSG:32639,20152.84,93616.3,23.109127,48.653803,6419,5664,5233,Vertical,Yamama,Mauddud,19068.8,95071.92,Shelf-5,Nabors,Appraisal,Gas Injector,23.099513,48.647002,23.126502,48.66438
W-0051,WB-0051,Bravo,Offshore-North,JKT-71,9,Bravo-09,29.1,17.5,DF,29.3,MSL,Producing,Completed,Abandoned,2026-12-26,2022-01-07,ADNOC,Block 81/16,EPSG:32641,93443.3,51351.79,27.817508,51.666405,3959,3194,2953,Vertical,Mishrif,Yamama,92325.24,52281.53,Noble-1,Borr Drilling,Appraisal,Oil Producer,27.820577,51.66196,27.803417,51.676708
W-0052,WB-0052,Hail,Onshore,PAD-16,42,Hail-42,26.4,6.0,KB,0.0,,Completed,Completed,Suspended,2014-10-27,2009-03-06,PDO Oman,Block 54/31,EPSG:32640,68908.77,95027.92,26.650797,51.87757,4651,4323,3572,Vertical,Nahr Umr,Yamama,67935.79,94908.54,Noble-5,ADES,Exploration,Appraisal,26.648485,51.874166,26.663183,51.878595
W-0053,WB-0053,Pearl,Offshore-North,PLAT-36,27,Pearl-27,50.1,3.7,DF,91.0,MSL,Testing,Completed,Suspended,2012-02-01,2001-07-22,ADNOC,Block 37/20,EPSG:32641,82327.32,53568.9,27.636994,49.326196,3257,2830,2337,Horizontal,Nahr Umr,Arab-C,83708.12,54780.2,Ensco-107,Borr Drilling,Appraisal,Water Injector,27.640447,49.329203,27.649922,49.331186
W-0054,WB-0054,Khuff,Offshore-West,PAD-59,21,Khuff-21,55.8,18.1,KB,17.5,MSL,Abandoned,Planned,Completed,2011-02-17,2003-04-04,Kuwait Oil Company,Block 53/3,EPSG:32640,55619.07,39419.05,27.368964,55.565585,1598,1405,1132,Horizontal,Nahr Umr,Thamama,56198.58,39148.59,Ensco-105,KCA Deutag,Development,Gas Producer,27.370738,55.570725,27.377312,55.575886
W-0055,WB-0055,Oryx,Onshore,FPSO-65,38,Oryx-38,17.3,-4.9,DF,0.0,,Testing,Planned,Testing,2007-04-03,1997-06-12,TotalEnergies,Block 13/34,EPSG:32640,77951.67,84820.31,25.5874,54.799803,2699,2172,1995,Vertical,Arab-C,Thamama,78855.78,84895.11,ADIPEC-1,Valaris,Exploration,Gas Injector,25.58187,54.804794,25.57265,54.813444
W-0056,WB-0056,Iris,Offshore-South,PAD-84,6,Iris-06,40.1,18.2,DF,102.8,MSL,Completed,Completed,Testing,2008-05-23,1998-10-12,Shell,Block 41/32,EPSG:32641,1620.04,49298.27,27.531245,53.352179,1805,1589,1412,Vertical,Arab-D,Shuaiba,1312.94,49229.66,ADIPEC-1,KCA Deutag,Appraisal,Gas Producer,27.538189,53.352376,27.537941,53.362652
W-0057,WB-0057,Charlie,Offshore-East,PLAT-98,41,Charlie-41,19.5,6.3,GL,112.9,MSL,Shut-in,Planned,Abandoned,2022-01-13,2012-03-12,PDO Oman,Block 4/3,EPSG:32640,81838.04,47190.25,22.530955,51.698364,6445,4770,5806,Vertical,Mishrif,Mauddud,81346.98,47033.12,Ensco-104,ADES,Exploration,Gas Producer,22.530794,51.70458,22.546518,51.692524
W-0058,WB-0058,Pearl,Offshore-East,FPSO-22,12,Pearl-12,56.8,7.8,KB,0.3,MSL,Drilling,Drilling,Completed,2022-02-18,2015-03-31,Kuwait Oil Company,Block 64/10,EPSG:32639,4013.89,49031.25,23.175897,51.294124,3028,2731,2240,Deviated,Mishrif,Nahr Umr,3217.34,49856.82,Ensco-101,KCA Deutag,Exploration,Gas Injector,23.182348,51.292866,23.172918,51.313993
W-0059,WB-0059,Jade,Offshore-West,FPSO-10,29,Jade-29,10.3,3.5,DF,54.4,MSL,Abandoned,Drilling,Drilling,2030-09-23,2024-02-01,PDO Oman,Block 59/20,EPSG:32639,88991.34,84678.5,22.271364,53.207788,5738,4547,5285,Deviated,Nahr Umr,Arab-D,88933.28,84758.81,Ensco-100,ADES,Development,Water Injector,22.269484,53.200266,22.267905,53.205168
W-0060,WB-0060,Rimal,Offshore-South,JKT-3,43,Rimal-43,38.3,2.5,DF,35.4,MSL,Testing,Planned,Completed,1999-09-04,1996-07-17,ADNOC,Block 78/32,EPSG:32640,99196.27,83194.15,23.951982,52.363455,1419,1106,1006,Vertical,Mauddud,Shuaiba,99351.76,82644.3,ADIPEC-1,Valaris,Development,Water Injector,23.961676,52.364744,23.949696,52.344434
W-0061,WB-0061,Eagle,Onshore,PLAT-40,29,Eagle-29,42.5,16.2,KB,0.0,,Shut-in,Drilling,Drilling,2019-01-06,2012-06-18,Saudi Aramco,Block 38/21,EPSG:32641,29406.75,40352.0,24.332064,48.498185,1445,1160,950,Deviated,Arab-C,Shuaiba,29802.07,39626.47,Noble-5,Nabors,Development,Water Injector,24.337474,48.507231,24.315355,48.49269
W-0062,WB-0062,Pearl,Offshore-West,JKT-22,17,Pearl-17,23.6,16.6,DF,4.4,MSL,Testing,Drilling,Drilling,2021-05-13,2010-06-18,BP,Block 15/30,EPSG:32639,21031.86,33329.99,23.628094,52.100021,5569,4042,4031,Vertical,Shuaiba,Thamama,20303.22,31943.23,Shelf-3,Shelf Drilling,Exploration,Gas Injector,23.637413,52.105881,23.643775,52.085132
W-0063,WB-0063,Alpha,Offshore-South,PLAT-59,24,Alpha-24,48.5,7.1,GL,91.2,MSL,Completed,Completed,Suspended,2031-06-21,2023-01-07,Shell,Block 82/24,EPSG:32639,76536.34,49192.8,26.972425,54.451229,6205,5663,4896,Horizontal,Shuaiba,Nahr Umr,77882.3,49442.39,Noble-1,Borr Drilling,Development,Water Injector,26.972712,54.452803,26.987192,54.436087
W-0064,WB-0064,Shams,Offshore-North,PLAT-82,30,Shams-30,31.3,18.0,GL,69.2,MSL,Producing,Completed,Abandoned,2001-08-21,1998-03-13,QatarEnergy,Block 6/3,EPSG:32640,25302.63,57277.25,24.14052,51.673919,4695,3751,4069,Deviated,Arab-D,Arab-D,24311.91,56467.13,Ensco-100,Borr Drilling,Exploration,Gas Injector,24.139994,51.676855,24.160436,51.66518
W-0065,WB-0065,Nour,Offshore-South,PAD-76,48,Nour-48,22.2,13.0,GL,43.2,MSL,Producing,Drilling,Drilling,2016-07-08,2014-09-25,TotalEnergies,Block 79/27,EPSG:32640,86556.24,23833.72,23.685607,48.415653,5407,5322,5104,Vertical,Mauddud,Shuaiba,87953.2,22778.12,Ensco-107,ADES,Exploration,Water Injector,23.690716,48.424264,23.689014,48.397788
